Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
12S,12,6,C,15454.54545,15454.54545
12S,12,8,A,0,0
12S,12,8,B,90.90909091,90.90909091
12S,12,8,C,90.90909091,90.90909091
12S,12,10,A,0,0
12S,12,10,B,0,90.90909091
12S,12,10,C,0,0
12S,12,12,A,0,0
12S,12,12,B,0,0
12S,12,12,C,0,0
10M,16,0,A,48181818.18,48181818.18
10M,16,0,B,50909090.91,50909090.91
10M,16,0,C,100000000,100000000
10M,16,2,A,40909090.91,40909090.91
10M,16,2,B,44545454.55,44545454.55
10M,16,2,C,27272727.27,27272727.27
10M,16,4,A,2090909.091,2090909.091
10M,16,4,B,2545454.545,2545454.545
10M,16,4,C,2363636.364,2363636.364
10M,16,6,A,2000000,2000000
10M,16,6,B,818181.8182,818181.8182
10M,16,6,C,1727272.727,1727272.727
10M,16,8,A,81818.18182,81818.18182
10M,16,8,B,100000,100000
10M,16,8,C,100000,100000
10M,16,10,A,0,90.90909091
10M,16,10,B,0,0
10M,16,10,C,0,0
10M,16,12,A,0,0
10M,16,12,B,0,0
10M,16,12,C,0,0
10S,16,0,A,22727272.73,22727272.73
10S,16,0,B,23636363.64,23636363.64
10S,16,0,C,19090909.09,19090909.09
10S,16,2,A,2090909.091,2090909.091
10S,16,2,B,1363636.364,1363636.364
10S,16,2,C,1000000,1000000
10S,16,4,A,163636.3636,163636.3636
10S,16,4,B,145454.5455,145454.5455
10S,16,4,C,118181.8182,118181.8182
10S,16,6,A,10909.09091,10909.09091
10S,16,6,B,14545.45455,14545.45455
10S,16,6,C,10909.09091,10909.09091
10S,16,8,A,90.90909091,90.90909091
10S,16,8,B,0,0
10S,16,8,C,0,0
10S,16,10,A,0,90.90909091
10S,16,10,B,0,0
10S,16,10,C,0,0
10S,16,12,A,0,0
10S,16,12,B,0,0
10S,16,12,C,0,0
11M,16,0,A,63636363.64,63636363.64
11M,16,0,B,54545454.55,54545454.55
11M,16,0,C,81818181.82,81818181.82
11M,16,2,A,40000000,40000000
11M,16,2,B,37272727.27,37272727.27
11M,16,2,C,40909090.91,40909090.91
11M,16,4,A,19090909.09,19090909.09
11M,16,4,B,30000000,30000000
11M,16,4,C,19090909.09,19090909.09
11M,16,6,A,19090909.09,19090909.09
11M,16,6,B,14545454.55,14545454.55
11M,16,6,C,12727272.73,12727272.73
11M,16,8,A,636363.6364,636363.6364
11M,16,8,B,454545.4545,454545.4545
11M,16,8,C,545454.5455,545454.5455
11M,16,10,A,0,90.90909091
11M,16,10,B,0,0
11M,16,10,C,0,0
11M,16,12,A,0,0
11M,16,12,B,0,0
11M,16,12,C,0,0
11S,16,0,A,18181818.18,18181818.18
11S,16,0,B,16363636.36,16363636.36
11S,16,0,C,15454545.45,15454545.45
11S,16,2,A,1454545.455,1454545.455
11S,16,2,B,1727272.727,1727272.727
11S,16,2,C,1818181.818,1818181.818
11S,16,4,A,909090.9091,909090.9091
11S,16,4,B,563636.3636,563636.3636
11S,16,4,C,463636.3636,463636.3636
11S,16,6,A,109090.9091,109090.9091
11S,16,6,B,45454.54545,45454.54545
11S,16,6,C,81818.18182,81818.18182
11S,16,8,A,0,90.90909091
11S,16,8,B,0,0
11S,16,8,C,0,0
11S,16,10,A,0,0
11S,16,10,B,0,0
11S,16,10,C,0,0
11S,16,12,A,0,0
11S,16,12,B,0,0
11S,16,12,C,0,0
12M,16,0,A,37272727.27,37272727.27
12M,16,0,B,42727272.73,42727272.73
12M,16,0,C,100000000,100000000
12M,16,2,A,27272727.27,27272727.27
12M,16,2,B,30000000,30000000
12M,16,2,C,18181818.18,18181818.18
12M,16,4,A,1545454.545,1545454.545
12M,16,4,B,2363636.364,2363636.364
12M,16,4,C,2090909.091,2090909.091
12M,16,6,A,1000000,1000000
12M,16,6,B,1545454.545,1545454.545
12M,16,6,C,909090.9091,909090.9091
12M,16,8,A,42727.27273,42727.27273
12M,16,8,B,40000,40000
12M,16,8,C,36363.63636,36363.63636
12M,16,10,A,0,90.90909091
12M,16,10,B,0,0
12M,16,10,C,0,0
12M,16,12,A,0,0
12M,16,12,B,0,0
12M,16,12,C,0,0
12S,16,0,A,14545454.55,14545454.55
12S,16,0,B,11818181.82,11818181.82
12S,16,0,C,10909090.91,10909090.91
12S,16,2,A,909090.9091,909090.9091
12S,16,2,B,1272727.273,1272727.273
12S,16,2,C,909090.9091,909090.9091
